user_id,destination_id,rating
1,16,5
2,17,5
2,18,2
2,19,3
2,20,3
3,21,4
3,22,3
4,7,1
4,18,4
4,23,5
4,24,3
4,25,5
4,26,4
4,27,4
4,28,5
5,22,4
5,29,3
5,30,3
5,31,5
5,32,4
5,33,5
6,15,4
6,26,4
6,34,2
6,35,3
6,36,3
6,37,3
6,38,4
6,39,5
6,40,5
6,41,4
7,30,3
7,42,3
7,43,4
7,44,5
8,16,4
8,45,4
8,46,1
8,47,3
8,48,3
8,49,4
8,50,5
9,51,3
9,52,3
9,53,4
9,54,4
9,55,5
9,56,5
10,23,4
10,41,4
10,57,5
10,58,5
10,59,2
10,60,2
11,28,1
11,61,5
11,62,4
12,22,4
12,53,5
12,63,1
12,64,4
13,31,4
13,45,5
13,65,1
13,66,4
13,67,4
14,35,3
14,68,5
14,69,4
14,70,3
14,71,4
14,72,5
15,26,4
15,32,4
15,73,3
16,74,3
16,75,4
16,76,5
16,77,2
17,19,1
17,58,1
17,78,2
17,79,3
18,6,5
18,70,1
18,80,4
18,81,3
18,82,2
19,15,4
19,47,4
19,56,5
19,64,4
19,83,4
19,84,2
20,85,3
21,17,1
21,72,3
21,86,4
21,87,4
21,88,3
22,50,4
22,52,5
22,89,5
22,90,1
23,54,1
23,91,2
23,92,3
24,32,3
24,49,4
24,92,5
24,93,4
24,94,4
25,17,3
25,30,5
25,35,3
25,45,2
25,54,4
25,87,4
25,95,5
26,6,3
26,90,5
26,96,4
27,19,4
27,47,3
27,77,4
27,78,4
27,97,5
27,98,5
28,26,4
28,28,4
28,45,4
28,54,5
28,85,5
28,95,1
28,99,4
28,100,4
28,101,3
28,102,5
28,103,4
29,83,4
29,89,3
29,91,2
29,104,3
30,105,1
30,106,2
30,107,4
30,108,4
31,19,5
31,37,4
31,73,5
31,76,1
32,83,4
32,89,5
32,107,4
32,109,4
32,110,4
32,111,4
33,55,3
33,112,4
33,113,3
34,85,3
34,114,5
35,44,3
35,76,4
35,87,4
35,115,4
36,76,2
36,110,4
37,81,5
37,116,4
37,117,4
38,87,3
38,95,4
38,118,2
38,119,4
39,32,3
39,38,5
39,42,4
39,44,3
39,71,4
39,120,3
39,121,1
40,30,4
40,65,3
40,67,5
40,76,3
40,77,4
40,86,3
40,88,3
40,89,3
40,114,3
40,122,1
40,123,5
41,20,5
41,45,5
41,116,5
41,118,4
41,120,4
41,124,4
41,125,5
42,6,5
42,31,4
42,32,3
42,42,4
42,91,1
42,92,1
42,126,1
43,103,4
43,104,4
43,110,3
43,127,4
43,128,5
44,30,3
44,60,3
44,128,3
44,129,3
45,16,5
45,117,3
45,130,4
45,131,4
46,23,4
46,66,4
46,69,2
46,89,5
46,132,3
46,133,4
46,134,5
46,135,5
47,81,2
47,95,4
47,131,4
47,136,4
48,16,5
48,17,3
48,69,5
48,98,5
48,137,3
48,138,4
49,28,4
49,70,5
49,80,4
49,98,5
49,128,2
49,139,5
49,140,3
50,33,5
50,123,4
50,140,4
50,141,2
50,142,3
51,21,2
51,111,4
51,126,5
52,4,4
52,21,2
52,47,5
52,109,1
52,143,4
52,144,5
53,22,5
53,64,5
53,80,5
53,99,4
53,101,3
53,108,4
53,145,5
53,146,5
54,17,4
54,31,4
54,54,3
54,56,5
54,105,3
54,108,4
54,115,4
54,117,4
54,131,1
54,133,5
54,147,3
55,64,2
55,87,5
55,102,4
55,148,5
56,39,5
56,61,4
57,60,4
57,120,4
57,130,4
57,149,2
57,150,2
57,151,4
58,16,4
58,50,5
58,54,4
58,71,5
58,84,4
58,104,4
58,151,3
58,152,4
58,153,4
59,86,4
59,115,3
59,154,4
60,21,4
60,74,4
60,114,3
60,115,5
60,119,3
60,141,4
60,155,4
60,156,4
61,48,5
61,85,4
61,116,2
62,51,5
62,55,3
62,76,5
62,122,1
62,132,5
62,145,5
62,157,4
62,158,4
63,68,4
63,113,3
64,59,5
64,72,3
64,129,4
64,155,4
64,159,4
64,160,3
65,17,5
65,119,5
65,132,4
65,142,4
65,144,5
65,151,2
65,161,1
66,5,4
66,104,4
66,120,3
66,135,2
67,24,4
67,31,4
67,57,5
67,101,4
67,146,4
67,150,3
68,5,5
68,34,5
68,37,3
69,26,3
69,45,4
69,61,5
69,103,3
69,112,5
69,154,3
69,162,4
69,163,4
70,16,1
70,22,2
70,31,5
70,55,4
70,63,4
70,66,4
70,70,2
70,99,3
71,37,4
71,56,4
71,95,3
71,140,5
71,143,4
71,164,5
72,21,3
72,165,3
73,17,4
73,30,4
73,75,1
73,95,4
73,97,3
73,137,1
73,148,2
73,166,5
74,108,4
74,136,5
75,114,3
75,153,5
75,167,3
76,106,5
76,154,1
76,168,3
76,169,5
77,71,5
77,170,4
77,171,3
77,172,5
78,1,4
78,30,5
78,110,3
78,159,5
79,113,4
79,124,3
79,125,4
79,173,5
80,18,1
80,22,5
80,95,5
80,134,3
80,172,5
81,20,4
81,64,3
81,92,4
81,157,4
82,35,5
82,53,5
82,59,2
82,95,4
83,33,3
83,43,1
83,76,3
83,89,5
83,131,4
83,158,4
83,161,4
83,174,4
84,74,5
84,86,5
84,88,5
85,45,3
85,71,4
85,107,5
85,147,3
86,60,5
86,99,2
86,175,3
86,176,3
87,17,4
87,65,5
87,149,3
88,52,4
88,101,3
88,125,4
88,177,4
88,178,4
89,18,4
89,26,5
89,48,4
89,100,5
89,127,3
89,152,5
90,53,4
90,63,5
90,113,5
90,135,4
90,143,5
90,162,5
90,179,5
91,26,2
91,32,3
91,58,4
91,75,5
92,47,4
92,50,4
92,75,4
92,135,5
92,166,2
92,180,4
93,42,4
93,108,3
93,117,5
93,127,3
94,23,4
94,30,3
94,36,4
94,49,3
94,74,4
94,90,5
94,151,3
94,156,3
95,175,4
96,27,3
96,31,4
96,62,2
96,95,2
96,150,1
97,106,2
97,107,3
97,129,5
97,179,2
98,30,3
98,35,4
98,63,4
98,92,5
98,136,3
98,158,2
98,181,1
98,182,2
99,57,4
99,131,4
99,183,4
100,25,3
100,51,4
100,72,4
100,76,3
100,182,5
101,21,3
101,52,4
101,54,5
101,95,3
101,126,2
102,6,3
102,46,5
102,47,1
102,145,4
102,149,2
102,167,4
103,70,5
103,127,1
103,149,4
103,159,5
103,184,5
104,79,5
104,152,2
104,163,5
104,177,5
104,185,3
105,46,4
105,96,5
105,147,4
106,7,4
106,52,4
107,49,4
107,81,1
107,94,3
107,106,3
107,107,4
107,172,4
107,186,5
108,21,3
108,23,4
108,154,4
109,1,2
109,32,3
109,119,3
109,133,5
109,158,4
109,187,5
110,5,1
110,52,5
110,58,4
110,59,4
110,97,4
110,117,4
111,1,3
111,41,3
111,89,2
111,137,5
111,155,3
111,168,5
111,176,1
112,70,4
112,76,5
112,95,5
112,117,2
113,70,5
113,95,3
113,105,2
114,4,5
114,86,5
114,123,4
114,145,4
114,178,2
114,187,3
115,32,5
115,82,5
115,113,4
115,122,5
116,33,3
116,42,5
116,72,4
116,160,3
116,170,3
116,172,4
116,179,5
117,69,3
117,89,4
117,109,1
117,122,4
117,144,4
117,168,4
118,19,3
118,22,4
118,83,3
118,113,5
118,124,4
118,144,5
118,148,5
118,158,5
119,15,4
119,32,5
119,37,4
119,45,5
119,133,4
119,178,5
120,21,2
120,42,5
120,77,5
120,166,5
121,19,5
121,25,1
121,26,4
121,43,4
121,70,4
121,82,3
121,119,5
121,121,3
121,177,3
122,39,5
122,130,3
123,60,4
123,69,1
123,102,3
123,164,4
123,180,2
124,17,1
124,80,4
124,137,4
124,161,4
124,163,4
125,121,3
125,134,4
125,148,2
125,156,5
125,184,1
126,34,2
126,78,5
126,106,5
126,125,5
126,141,2
126,149,5
126,188,5
127,32,5
127,48,5
127,89,4
127,149,4
127,150,4
127,169,4
127,173,4
128,1,4
128,56,4
128,86,4
128,99,4
129,16,3
129,86,5
129,87,4
129,103,4
129,143,3
129,189,4
130,29,1
130,30,2
130,66,4
130,68,3
130,75,2
130,135,4
130,167,5
131,15,4
131,32,4
131,71,4
131,102,3
131,138,3
131,180,3
131,190,4
132,86,1
133,29,3
133,43,3
133,61,5
133,68,4
133,69,5
133,78,5
133,136,1
133,147,2
133,172,5
134,1,4
134,22,1
134,130,3
134,172,4
134,179,1
135,91,4
135,95,4
135,111,3
135,140,3
135,147,5
136,51,5
136,70,4
136,115,4
137,60,3
137,95,3
137,112,5
138,90,3
139,35,5
139,55,2
139,104,3
139,137,2
140,5,5
140,37,4
140,77,1
140,117,5
140,150,5
141,24,3
141,66,3
141,148,4
141,159,4
141,160,5
141,191,4
142,63,1
142,102,1
142,136,1
142,162,4
142,187,3
143,4,3
143,40,5
143,41,2
143,68,3
143,130,3
143,138,5
143,192,3
144,5,3
144,6,2
144,72,4
144,87,5
144,181,4
145,4,4
145,41,4
145,43,5
145,72,3
145,126,4
146,26,5
146,80,3
147,21,1
147,69,5
147,79,4
147,150,1
148,98,4
148,121,4
148,122,3
149,30,3
149,49,3
149,70,5
149,138,2
149,161,3
149,181,1
150,35,4
150,173,4
150,191,2
151,84,1
151,140,5
152,4,4
152,43,3
152,63,3
152,108,5
153,27,5
153,66,4
153,105,1
153,108,2
153,183,3
154,7,5
154,34,4
154,77,4
154,105,3
154,111,1
154,178,4
155,23,4
155,57,4
155,70,5
155,122,4
155,132,1
155,143,4
156,19,4
156,115,2
156,132,2
156,162,3
156,169,3
157,1,4
157,29,3
157,34,5
157,62,3
157,64,5
157,74,5
157,98,5
158,30,5
159,32,4
159,79,4
159,100,5
159,175,3
160,5,5
160,131,2
161,22,4
161,26,3
161,84,1
161,128,3
161,164,4
162,1,2
162,46,2
162,50,3
162,92,4
162,157,3
163,82,2
163,108,3
164,57,3
164,86,3
164,108,5
164,112,4
164,134,1
164,166,4
164,168,5
165,129,3
165,162,3
165,164,4
165,181,4
165,189,5
166,19,5
166,177,2
166,182,5
167,17,4
167,20,3
167,53,5
167,99,3
167,166,3
168,30,5
168,74,4
169,6,2
169,15,4
169,41,5
169,75,5
169,91,2
169,111,4
169,120,5
169,182,5
170,41,4
170,111,2
170,121,5
170,142,3
170,157,5
170,174,3
171,45,4
171,68,5
171,69,4
171,77,3
171,80,4
171,95,3
171,105,4
171,109,4
171,118,3
171,125,5
171,191,4
172,28,3
172,50,1
172,107,3
172,162,2
172,193,4
173,33,3
173,37,1
173,112,3
173,155,4
173,183,2
173,192,5
174,24,5
174,45,2
174,88,4
174,144,3
174,153,4
174,186,3
175,46,4
175,86,5
175,91,4
175,115,2
175,118,4
175,124,4
175,149,3
175,162,3
176,61,2
176,115,2
176,146,5
177,19,3
177,25,5
177,28,2
177,30,5
177,33,2
177,38,5
177,123,4
177,131,4
177,160,5
178,63,5
178,120,4
178,185,3
179,96,4
179,106,5
179,113,2
179,159,5
179,166,2
181,57,2
181,62,4
181,71,4
181,85,3
181,100,3
181,111,4
181,146,2
182,1,4
182,48,4
182,55,2
182,59,4
182,61,4
182,65,4
182,194,4
183,32,4
183,91,3
183,154,5
183,167,1
183,188,5
184,26,4
184,27,5
184,49,1
184,73,5
184,77,5
184,86,5
184,135,2
185,31,2
185,77,3
185,167,3
185,173,5
185,194,2
185,195,5
186,6,4
186,26,3
186,59,2
186,136,3
186,176,4
187,32,3
187,99,3
187,142,5
188,52,2
188,59,4
188,102,5
188,127,4
188,149,1
189,19,3
189,50,4
189,79,4
189,117,4
189,135,5
190,87,4
190,94,5
190,132,4
190,147,2
190,151,1
190,152,4
190,181,2
190,187,3
191,114,5
191,128,5
191,162,5
191,183,5
192,61,4
192,81,4
192,95,4
192,118,3
192,144,3
192,169,3
193,25,4
193,83,4
193,95,4
193,110,4
193,126,4
193,156,5
193,158,5
194,96,4
194,152,4
194,156,3
194,160,4
195,23,3
195,33,3
195,57,5
195,97,5
195,151,5
196,28,4
196,61,5
196,150,5
197,41,5
197,84,2
197,109,4
197,114,4
197,138,5
197,165,4
197,175,3
198,7,3
198,37,1
198,46,1
198,56,4
198,170,5
198,186,5
199,24,4
199,27,4
199,32,4
199,60,5
199,103,3
199,117,5
199,122,5
199,133,4
199,139,4
199,188,4
199,190,4
200,35,2
200,81,3
200,127,4
200,128,5
201,38,4
201,66,4
201,73,4
201,111,3
201,119,5
201,146,2
201,149,5
201,185,2
202,18,4
202,22,3
203,48,2
203,55,4
203,113,2
203,148,5
203,163,4
204,23,2
204,44,5
204,49,2
204,97,3
204,125,5
204,179,2
205,16,4
205,26,4
205,90,5
205,121,5
205,144,3
206,29,3
206,75,4
206,101,4
206,168,5
206,171,4
207,30,5
207,67,5
207,128,5
207,140,4
207,143,4
208,18,5
208,61,3
208,128,3
208,131,5
208,132,2
209,64,4
209,71,3
209,72,3
209,82,1
209,106,5
209,112,4
209,117,4
209,152,4
210,40,5
210,46,4
210,56,4
210,103,3
210,150,5
210,169,1
211,4,4
211,63,3
211,82,4
211,90,4
211,123,4
212,74,5
212,112,3
212,116,4
212,126,3
212,156,4
213,18,3
213,23,5
213,100,5
213,114,5
213,129,5
213,152,4
213,170,5
213,185,5
214,21,5
214,32,5
214,78,3
214,90,5
214,100,4
214,158,3
215,112,5
215,156,4
215,182,3
215,188,5
216,53,4
216,54,5
216,69,3
216,118,3
217,28,4
217,63,3
217,124,3
217,128,3
217,165,5
217,186,1
218,29,4
218,59,4
218,104,4
218,141,5
218,148,5
218,167,3
218,185,1
219,150,3
219,184,4
220,17,3
220,34,5
220,44,3
220,79,3
220,81,5
220,85,5
220,115,5
220,187,4
221,23,4
221,159,3
221,173,5
221,179,5
222,23,1
222,28,3
222,75,5
222,118,4
222,122,1
222,127,5
222,151,4
222,167,5
222,183,3
223,41,3
223,74,3
223,87,1
223,152,4
223,167,4
223,186,3
224,18,4
224,37,2
224,54,5
224,72,4
224,94,4
224,99,4
224,167,3
225,71,4
225,83,4
225,87,4
225,111,4
225,187,4
226,27,2
226,34,5
226,41,4
226,51,4
226,93,2
226,123,3
226,167,4
226,183,5
226,193,2
227,90,4
227,143,3
228,25,4
228,90,2
228,101,5
228,111,2
228,144,1
228,174,5
228,177,4
229,5,1
229,55,5
229,98,4
229,192,4
230,1,3
230,45,3
230,77,4
230,149,3
230,182,4
230,187,4
231,26,2
231,90,4
231,92,3
231,112,4
231,131,4
231,165,3
232,28,5
232,69,3
232,85,2
232,143,4
233,21,4
233,87,4
233,94,4
233,144,1
233,157,3
233,180,4
233,188,5
234,36,5
234,80,4
234,124,4
234,156,3
234,173,5
234,188,5
235,21,2
235,28,4
235,30,1
235,50,3
235,66,5
235,122,5
235,146,2
235,157,3
236,16,4
236,44,5
236,112,4
236,177,4
237,32,3
237,136,4
237,138,4
238,22,4
238,33,4
238,35,2
238,91,3
238,137,4
238,147,5
238,155,3
238,162,4
238,187,5
240,38,5
240,78,4
240,111,2
241,20,5
241,32,3
241,38,5
241,120,4
241,157,4
242,4,5
242,38,3
242,50,3
242,86,3
242,87,5
242,94,3
242,97,4
242,120,5
242,195,4
243,15,3
243,34,2
243,46,4
243,61,4
243,92,4
243,98,1
243,142,4
243,176,3
244,24,3
244,94,4
244,114,4
244,128,4
244,193,4
245,50,4
245,162,5
245,164,3
246,49,4
246,68,1
246,70,2
246,81,5
246,87,2
246,93,3
246,119,4
246,149,4
246,190,4
247,5,4
247,25,4
247,45,5
248,64,5
248,67,3
248,111,1
248,131,5
248,133,4
248,173,3
248,180,2
249,24,3
249,137,4
249,147,5
249,174,5
249,185,3
250,81,1
250,107,4
250,120,1
251,130,4
251,139,1
251,146,3
252,107,5
252,113,4
252,117,4
252,149,5
252,178,5
252,186,4
253,20,1
253,76,3
253,78,5
253,128,3
253,169,4
253,192,3
254,5,4
254,22,4
254,28,3
254,40,3
254,49,1
254,101,4
254,108,4
254,179,4
255,101,2
255,109,3
255,136,5
255,139,3
255,154,4
255,190,2
256,65,3
256,86,1
256,110,5
256,138,1
256,163,4
256,165,3
